,Stock,Sell_Date,Sell_Price,Shares_Owned,Proceeds,sell_value,Action
0,MNST,2025-11-12,70.25,142.34875444839858,10000.0,10000.0,Sell
1,CVS,2025-11-12,78.0,128.2051282051282,10000.0,10000.0,Sell
2,HBAN,2025-11-12,15.84000015258789,631.3131252316454,10000.0,10000.0,Sell
3,CTRA,2025-11-12,26.326462594197857,379.8459426221554,10000.0,10000.0,Sell
4,KEY,2025-11-12,18.149999618530273,550.9641989077776,10000.0,10000.0,Sell
5,CAG,2025-11-12,17.1200008392334,584.1121208991589,10000.0,10000.0,Sell
6,SOLV,2025-11-12,72.33000183105469,138.25521563455192,10000.0,10000.0,Sell
7,FCX,2025-11-12,40.83000183105469,244.91794150237217,10000.0,10000.0,Sell
8,KVUE,2025-11-13,16.65999984741211,603.4546302393501,10053.554047707705,10053.554047707703,Sell
9,AMCR,2025-11-13,8.520000457763672,1182.0330915968104,10070.922481496633,10070.922481496633,Sell
10,GEHC,2025-11-13,73.69999694824219,1085.4817274440616,80000.0,80000.0,Sell
11,SOLV,2025-11-14,73.51000213623047,1362.0524230655212,100124.47652920434,100124.47652920434,Sell
12,AMAT,2025-11-18,223.76138656810855,492.3717236113529,110173.77958220584,110173.77958220583,Sell
13,AMCR,2025-11-19,8.4399995803833,13053.76600234408,110173.77958220584,110173.77958220584,Sell
14,AMTM,2025-11-20,21.75,5065.461130216359,110173.7795822058,110173.77958220581,Sell
15,GEHC,2025-11-21,73.12999725341797,1506.54702201642,110173.7795822058,110173.77958220581,Sell
16,MU,2025-11-25,213.41000366210935,538.6680694262925,114957.15466892644,114957.15466892645,Sell
17,AMTM,2025-11-26,28.350000381469727,4054.926036052731,114957.15466892644,114957.15466892645,Sell
